WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,SCISSORS,LOSE
WELL,SCISSORS,WIN
SCISSORS,WELL,LOSE
WELL,WELL,TIE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
SCISSORS,PAPER,WIN
SCISSORS,WELL,LOSE
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,SCISSORS,LOSE
WELL,PAPER,LOSE
SCISSORS,WELL,LOSE
WELL,PAPER,LOSE
PAPER,PAPER,TIE
PAPER,SCISSORS,LOSE
SCISSORS,SCISSORS,TIE
WELL,PAPER,LOSE
SCISSORS,WELL,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
WELL,WELL,TIE
WELL,WELL,TIE
WELL,WELL,TIE
WELL,WELL,TIE
WELL,WELL,TIE
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,SCISSORS,LOSE
PAPER,SCISSORS,LOSE
PAPER,SCISSORS,LOSE
WELL,SCISSORS,WIN
WELL,SCISSORS,WIN
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
WELL,WELL,TIE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
WELL,PAPER,LOSE
PAPER,PAPER,TIE
SCISSORS,PAPER,WIN
SCISSORS,PAPER,WIN
SCISSORS,WELL,LOSE
SCISSORS,WELL,LOSE
PAPER,WELL,WIN
WELL,WELL,TIE
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,SCISSORS,LOSE
PAPER,SCISSORS,LOSE
WELL,SCISSORS,WIN
WELL,PAPER,LOSE
WELL,PAPER,LOSE
SCISSORS,PAPER,WIN
SCISSORS,WELL,LOSE
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
PAPER,WELL,WIN
